Naam;URN;Waarde;IMBRO;IMBRO/A;Definitie
"ActueelProces";"urn:bro:sfr:CurrentProces";"geulverlegging";"Ja";"Nee";"Er komen lateraal migrerende geulen voor.  "
"ActueelProces";"urn:bro:sfr:CurrentProces";"geulvorming";"Ja";"Nee";"Er vindt vorming of verdieping van geulen plaats."
"ActueelProces";"urn:bro:sfr:CurrentProces";"piping";"Ja";"Nee";"Water stroomt onder een dijk of ander grondlichaam door om buitendijks aan het oppervlak te komen."
"ActueelProces";"urn:bro:sfr:CurrentProces";"verstuiving";"Ja";"Nee";"Er vindt verstuiving plaats wanneer het hard waait (levend stuifzand)."
"AfwijkendGrondwaterRegime";"urn:bro:sfr:AnomalousGroundwaterRegime";"buitenHoofdkering";"Ja";"Nee";"Buiten de hoofdwaterkering gelegen gronden; periodiek overstroomd. De waarde is voorafgaand aan de grondwatertrap in de standaardpuntencode opgenomen met de code "b"."
"AfwijkendGrondwaterRegime";"urn:bro:sfr:AnomalousGroundwaterRegime";"overstroomdWinter";"Ja";"Nee";"Water boven maaiveld gedurende een aaneengesloten periode van meer dan 1 maand tijdens de winterperiode (alleen bij binnen de hoofdwaterkering gelegen gronden). De waarde is voorafgaand aan de grondwatertrap in de standaardpuntencode opgenomen met de code "w"."
"AfwijkendGrondwaterRegime";"urn:bro:sfr:AnomalousGroundwaterRegime";"schijnspiegels";"Ja";"Nee";"Schijnspiegels; het niveau van de GHG wordt bepaald door periodiek optredende grondwaterstanden boven een slecht doorlatende laag, waaronder weer een onverzadigde zone voorkomt. Deze kwalitatieve toevoeging geven we alleen aan bij gronden met een grondwaterfluctuatie (GLG-GHG) van meer dan 120 cm. De waarde is voorafgaand aan de grondwatertrap in de standaardpuntencode opgenomen met de code "s"."
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"uiterstKortTot2mm";"Ja";"Nee";"De verticale as is kleiner dan 2 mm."
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"zeerKort2tot5mm";"Ja";"Nee";"De verticale as is tussen de 2 en 5 mm."
"Aggregaatlengteklasse";"urn:bro:sfr:AggregateLengthClass";"kort5tot10mm";"Ja";"Nee";"De verticale as is tussen de 5 en 10 mm."
